zhAddress,zhLink,zhName,zhNum,zhTime,zhType
深圳,position_detail.php?id=47180&keywords=&tid=0&lid=0,PCG14-应用宝用户运营产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47181&keywords=&tid=0&lid=0,22989-高级业务运维工程师（深圳）,1,2019-01-30,技术类
北京,position_detail.php?id=47182&keywords=&tid=0&lid=0,S2-CDG财务管理（北京）,1,2019-01-30,职能类
深圳,position_detail.php?id=47183&keywords=&tid=0&lid=0,PCG17-高级游戏运营,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47159&keywords=&tid=0&lid=0,18796-腾讯云游戏后台高级开发工程师(深圳）,2,2019-01-30,技术类
深圳,position_detail.php?id=47148&keywords=&tid=0&lid=0,21309-深圳市腾讯教育科技有限公司运营物料设计师,1,2019-01-30,设计类
深圳,position_detail.php?id=47149&keywords=&tid=0&lid=0,PCG14-商业数据产品经理（深圳）,2,2019-01-30,产品/项目类
深圳,position_detail.php?id=47150&keywords=&tid=0&lid=0,PCG04-高级前端工程师（深圳）,1,2019-01-30,技术类
成都,position_detail.php?id=47152&keywords=&tid=0&lid=0,CSIG17-大数据及AI测试工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47153&keywords=&tid=0&lid=0,24012-新手游后台开发工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47142&keywords=&tid=0&lid=0,19511-游戏业务流程经理（深圳）,1,2019-01-30,职能类
深圳,position_detail.php?id=47143&keywords=&tid=0&lid=0,15579-互娱项目管理经理(深圳),1,2019-01-30,产品/项目类
上海,position_detail.php?id=47144&keywords=&tid=0&lid=0,S2-税务管理经理(上海),1,2019-01-30,职能类
深圳,position_detail.php?id=47145&keywords=&tid=0&lid=0,22989-域名与DNS高级运维工程师,1,2019-01-30,技术类
北京,position_detail.php?id=47196&keywords=&tid=0&lid=0,23671-企鹅号平台产品经理（北京）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47197&keywords=&tid=0&lid=0,23517-策略规划经理,1,2019-01-30,产品/项目类
成都,position_detail.php?id=47200&keywords=&tid=0&lid=0,CSIG17-智慧零售测试工程师（深圳/成都）,2,2019-01-30,技术类
深圳,position_detail.php?id=47201&keywords=&tid=0&lid=0,CSIG17-车联网移动端测试开发工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47190&keywords=&tid=0&lid=0,PCG14-商业化广告算法工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47191&keywords=&tid=0&lid=0,21309-企鹅辅导高级产品策划经理（用户增长/付费转化方向）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47192&keywords=&tid=0&lid=0,21309-腾讯课堂-类目经理BD（深圳）,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47193&keywords=&tid=0&lid=0,CSIG16-路况产品服务高级产品经理,1,2019-01-30,产品/项目类
成都,position_detail.php?id=47194&keywords=&tid=0&lid=0,25667-企点行业渠道销售经理（成都）,1,2019-01-30,市场类
深圳,position_detail.php?id=47184&keywords=&tid=0&lid=0,PCG17-高级游戏运营,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47225&keywords=&tid=0&lid=0,PCG10-搜索web开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47214&keywords=&tid=0&lid=0,22989-BOM工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47215&keywords=&tid=0&lid=0,28600-211 微信支付物料平台产品运营经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47216&keywords=&tid=0&lid=0,25664-腾讯云政务民生架构师（北上广成）,5,2019-01-30,技术类
深圳,position_detail.php?id=47217&keywords=&tid=0&lid=0,PCG17-QQ手游高级产品策划（平台）（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47218&keywords=&tid=0&lid=0,PCG17-QQ手游高级产品运营（平台）（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47219&keywords=&tid=0&lid=0,TME-音频算法工程师（深圳）,1,2019-01-30,技术类
广州,position_detail.php?id=47208&keywords=&tid=0&lid=0,CSIG08-大数据产品经理,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47209&keywords=&tid=0&lid=0,PCG10-浏览平台后台开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47210&keywords=&tid=0&lid=0,22989-NPI工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47173&keywords=&tid=0&lid=0,30630-腾讯广告商业分析（内容）（深圳/上海）,1,2019-01-30,市场类
深圳,position_detail.php?id=47174&keywords=&tid=0&lid=0,30630-腾讯广告商业分析（行业分析）（深圳/北京）,1,2019-01-30,市场类
上海,position_detail.php?id=47175&keywords=&tid=0&lid=0,30630-腾讯广告商业分析（行业分析）（上海）,1,2019-01-30,市场类
深圳,position_detail.php?id=47176&keywords=&tid=0&lid=0,30630-腾讯广告商业分析（流量分析）（深圳/上海）,1,2019-01-30,市场类
广州,position_detail.php?id=47177&keywords=&tid=0&lid=0,25664-腾讯政务云产品策划经理（广州）,2,2019-01-30,产品/项目类
深圳,position_detail.php?id=47166&keywords=&tid=0&lid=0,29912-短视频移动端开发iOS,2,2019-01-30,技术类
深圳,position_detail.php?id=47167&keywords=&tid=0&lid=0,29912-短视频社区高级后台开发工程师,2,2019-01-30,技术类
深圳,position_detail.php?id=47168&keywords=&tid=0&lid=0,28604-微信支付卡包C端产品策划经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47169&keywords=&tid=0&lid=0,GY0-后台开发工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47170&keywords=&tid=0&lid=0,CSIG18-腾讯云安全攻防研究员,1,2019-01-30,技术类
深圳,position_detail.php?id=47226&keywords=&tid=0&lid=0,PCG10-搜索Web开发高级工程师,1,2019-01-30,技术类
北京,position_detail.php?id=47227&keywords=&tid=0&lid=0,CSIG16-自动驾驶DSP软件工程师,1,2019-01-30,技术类
北京,position_detail.php?id=47228&keywords=&tid=0&lid=0,CSIG16-腾讯地图Android客户端研发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47229&keywords=&tid=0&lid=0,21309-企鹅辅导-市场投放经理,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47230&keywords=&tid=0&lid=0,18425-金融AI高级产品经理,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47220&keywords=&tid=0&lid=0,CSIG18-腾讯云安全产品Web前端开发,1,2019-01-30,技术类
深圳,position_detail.php?id=47221&keywords=&tid=0&lid=0,21087-DNF端游数据分析（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47222&keywords=&tid=0&lid=0,22989-供应链主管,1,2019-01-30,技术类
深圳,position_detail.php?id=47223&keywords=&tid=0&lid=0,PCG10-搜索C++后台开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47224&keywords=&tid=0&lid=0,PCG10-搜索C++后台开发高级工程师,1,2019-01-30,技术类
上海,position_detail.php?id=47252&keywords=&tid=0&lid=0,25927-高级手游适配测试经理,1,2019-01-30,技术类
北京,position_detail.php?id=47253&keywords=&tid=0&lid=0,31112-腾讯视频PC客户端游戏中心运营,1,2019-01-30,内容编辑类
北京,position_detail.php?id=47255&keywords=&tid=0&lid=0,24548-电视剧商业制片人,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47243&keywords=&tid=0&lid=0,22989-腾讯云运营产品中心WEB前端开发工程师,1,2019-01-30,技术类
北京,position_detail.php?id=47245&keywords=&tid=0&lid=0,25929-高级游戏玩法开发工程师（北京）,1,2019-01-30,技术类
北京,position_detail.php?id=47246&keywords=&tid=0&lid=0,25929-高级引擎图形开发工程师（北京）,1,2019-01-30,技术类
北京,position_detail.php?id=47247&keywords=&tid=0&lid=0,25929-资深场景关卡设计师（北京）,1,2019-01-30,设计类
北京,position_detail.php?id=47248&keywords=&tid=0&lid=0,25929-资深3D角色设计师（北京）,1,2019-01-30,设计类
北京,position_detail.php?id=47237&keywords=&tid=0&lid=0,23671-企鹅号策略产品经理（搜索方向）-北京,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47238&keywords=&tid=0&lid=0,18434-营销推广经理,1,2019-01-30,市场类
深圳,position_detail.php?id=47239&keywords=&tid=0&lid=0,TME-全民K歌图像开发工程师（Android/iOS）（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47240&keywords=&tid=0&lid=0,22989-腾讯云英文客服,1,2019-01-30,技术类
深圳,position_detail.php?id=47241&keywords=&tid=0&lid=0,"22989-Customer Service, Tencent Cloud",1,2019-01-30,技术类
深圳,position_detail.php?id=47242&keywords=&tid=0&lid=0,22989-腾讯云运营产品中心后台开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47231&keywords=&tid=0&lid=0,27216-运营经理 ,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47232&keywords=&tid=0&lid=0,23486-证券产品策划经理,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47233&keywords=&tid=0&lid=0,22086-腾讯体育商务合作经理-版权方向（北京）,1,2019-01-30,市场类
深圳,position_detail.php?id=47234&keywords=&tid=0&lid=0,29315-培训经理,1,2019-01-30,职能类
上海,position_detail.php?id=47235&keywords=&tid=0&lid=0,18432-金融合作高级商务经理,1,2019-01-30,市场类
深圳,position_detail.php?id=47236&keywords=&tid=0&lid=0,28600-微信支付营销推荐产品经理（深圳）,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47267&keywords=&tid=0&lid=0,22851-腾讯视频时尚节目制片人（北京）,1,2019-01-30,内容编辑类
深圳,position_detail.php?id=47256&keywords=&tid=0&lid=0,22989-腾讯云用户运营,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47257&keywords=&tid=0&lid=0,30933- 高级游戏业务商业分析经理（海外市场）,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47258&keywords=&tid=0&lid=0,PCG04-测试开发工程师（北京）,1,2019-01-30,技术类
深圳,position_detail.php?id=47259&keywords=&tid=0&lid=0,PCG04-AI评价优化高级工程师（深圳）,1,2019-01-30,技术类
北京,position_detail.php?id=47260&keywords=&tid=0&lid=0,PCG04-腾讯新闻高级后台开发工程师（北京）,1,2019-01-30,技术类
北京,position_detail.php?id=47261&keywords=&tid=0&lid=0,17757-前端开发工程师（北京）,1,2019-01-30,技术类
深圳,position_detail.php?id=47249&keywords=&tid=0&lid=0,25667-渠道销售运营管理（深圳）,2,2019-01-30,市场类
深圳,position_detail.php?id=47250&keywords=&tid=0&lid=0,FWZ-诉讼律师（深圳）,1,2019-01-30,职能类
深圳,position_detail.php?id=47251&keywords=&tid=0&lid=0,28966-移动视觉设计师（深圳）,1,2019-01-30,设计类
北京,position_detail.php?id=47281&keywords=&tid=0&lid=0,PCG04-腾讯新闻高级Android开发工程师（北京）,1,2019-01-30,技术类
深圳,position_detail.php?id=47282&keywords=&tid=0&lid=0,28481-医疗健康后台开发工程师（深圳）,3,2019-01-30,技术类
北京,position_detail.php?id=47283&keywords=&tid=0&lid=0,23674-策略评测产品经理,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47284&keywords=&tid=0&lid=0,CSIG07-云平台安全工程师（北京）,1,2019-01-30,技术类
香港,position_detail.php?id=47274&keywords=&tid=0&lid=0,28605-321 微信境外支付高级区域经理（香港）,1,2019-01-30,市场类
深圳,position_detail.php?id=47276&keywords=&tid=0&lid=0,28601-211 智慧零售时尚品牌行业运营经理 （深圳/上海）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47277&keywords=&tid=0&lid=0,30360-内容运营产品经理,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47278&keywords=&tid=0&lid=0,30360-内容安全产品运营经理,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47279&keywords=&tid=0&lid=0,22851-腾讯视频电影内容与剧本评估（北京）,1,2019-01-30,内容编辑类
深圳,position_detail.php?id=47268&keywords=&tid=0&lid=0,30629-腾讯广告高级公关传播经理（产品传播方向）,1,2019-01-30,市场类
北京,position_detail.php?id=47293&keywords=&tid=0&lid=0,22851-腾讯视频电影排播管理（北京）,1,2019-01-30,内容编辑类
北京,position_detail.php?id=47294&keywords=&tid=0&lid=0,25668-区域市场经理（北京）,1,2019-01-30,市场类
深圳,position_detail.php?id=47295&keywords=&tid=0&lid=0,22989-腾讯云容器高级产品运营（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47296&keywords=&tid=0&lid=0,22989-腾讯云容器高级产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47286&keywords=&tid=0&lid=0,PCG09-信息流Android开发工程师,2,2019-01-30,技术类
深圳,position_detail.php?id=47288&keywords=&tid=0&lid=0,PCG09-信息流iOS高级开发工程师,2,2019-01-30,技术类
深圳,position_detail.php?id=47289&keywords=&tid=0&lid=0,PCG09-信息流Web前端高级开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47290&keywords=&tid=0&lid=0,PCG09-信息流后台高级开发工程师,2,2019-01-30,技术类
深圳,position_detail.php?id=47291&keywords=&tid=0&lid=0,29923-UI开发工程师（深圳）,1,2019-01-30,设计类
深圳,position_detail.php?id=47280&keywords=&tid=0&lid=0,28603-113 微信支付智慧营销开发工程师（深圳）,1,2019-01-30,技术类
北京,position_detail.php?id=47269&keywords=&tid=0&lid=0,31112-腾讯视频游戏内容运营,1,2019-01-30,内容编辑类
深圳,position_detail.php?id=47270&keywords=&tid=0&lid=0,27020-量子实验室后台开发工程师（深圳）,2,2019-01-30,技术类
北京,position_detail.php?id=47271&keywords=&tid=0&lid=0,30629-腾讯广告高级公关传播经理（KA业务传播）,1,2019-01-30,市场类
上海,position_detail.php?id=47272&keywords=&tid=0&lid=0,30629-腾讯广告高级公关传播经理（KA业务传播）,1,2019-01-30,市场类
深圳,position_detail.php?id=47273&keywords=&tid=0&lid=0,25666-腾讯云能源行业大客户经理（北京/上海/广州/深圳）,3,2019-01-30,市场类
深圳,position_detail.php?id=47262&keywords=&tid=0&lid=0,30359-高级服务器开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47263&keywords=&tid=0&lid=0,22989-腾讯云售中交付技术总监（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47264&keywords=&tid=0&lid=0,PCG10-浏览器阅读产品运营-信息流方向,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47265&keywords=&tid=0&lid=0,PCG10-浏览器阅读产品运营-社区方向,1,2019-01-30,产品/项目类
上海,position_detail.php?id=47266&keywords=&tid=0&lid=0,30633-腾讯广告合约广告前端UI工程师（上海）,1,2019-01-30,设计类
深圳,position_detail.php?id=47307&keywords=&tid=0&lid=0,18432-浮动收益产品运营经理,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47308&keywords=&tid=0&lid=0,AQ-安全品牌经理（深圳）,2,2019-01-30,市场类
北京,position_detail.php?id=47309&keywords=&tid=0&lid=0,AQ-安全品牌经理（北京）,1,2019-01-30,市场类
深圳,position_detail.php?id=47297&keywords=&tid=0&lid=0,28603-116 微信支付效能开发工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47299&keywords=&tid=0&lid=0,28601-微信支付行业缴费开发工程师（深圳）,1,2019-01-30,技术类
上海,position_detail.php?id=47300&keywords=&tid=0&lid=0,19157-车联物联安全—固件/硬件安全研究员（上海）,1,2019-01-30,技术类
深圳,position_detail.php?id=47301&keywords=&tid=0&lid=0,22989-域名与DNS项目经理（深圳总部）,1,2019-01-30,产品/项目类
广州,position_detail.php?id=47302&keywords=&tid=0&lid=0,22989-域名与DNS项目经理（广州）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47303&keywords=&tid=0&lid=0,28096-腾讯音乐商业化广告高级产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47292&keywords=&tid=0&lid=0,PCG15-数据产品专家,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47321&keywords=&tid=0&lid=0,PCG04-测试leader（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47310&keywords=&tid=0&lid=0,PCG04-短视频高级测试开发工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47311&keywords=&tid=0&lid=0,PCG04-测试开发高级工程师（深圳）,2,2019-01-30,技术类
上海,position_detail.php?id=47312&keywords=&tid=0&lid=0,15614-天刀3D游戏动画设计师（上海）,1,2019-01-30,设计类
上海,position_detail.php?id=47313&keywords=&tid=0&lid=0,15614-客户端高级工程师（上海）,1,2019-01-30,技术类
深圳,position_detail.php?id=47314&keywords=&tid=0&lid=0,27087-青腾大学高级品牌公关经理,1,2019-01-30,市场类
深圳,position_detail.php?id=47315&keywords=&tid=0&lid=0,25926-游戏客户端安全工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47304&keywords=&tid=0&lid=0,22989-运营开发工程师,3,2019-01-30,技术类
深圳,position_detail.php?id=47305&keywords=&tid=0&lid=0,21527-腾讯音乐报表合并及分析经理岗位（深圳）,1,2019-01-30,职能类
深圳,position_detail.php?id=47306&keywords=&tid=0&lid=0,CSIG02-腾讯云教育AI产品经理(北京/深圳),2,2019-01-30,产品/项目类
深圳,position_detail.php?id=47337&keywords=&tid=0&lid=0,21527-腾讯音乐高级内部审计师（深圳）,4,2019-01-30,职能类
深圳,position_detail.php?id=47338&keywords=&tid=0&lid=0,TME-腾讯音乐全民K歌UI视觉设计师（深圳）,2,2019-01-30,设计类
深圳,position_detail.php?id=47339&keywords=&tid=0&lid=0,30624-腾讯广告行业拓展销售经理（深圳）,2,2019-01-30,市场类
深圳,position_detail.php?id=47328&keywords=&tid=0&lid=0,18796-渠道运营经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47329&keywords=&tid=0&lid=0,15569-魂斗罗高级美术项目管理,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47330&keywords=&tid=0&lid=0,27553-多媒体机器学习算法研究员,1,2019-01-30,技术类
深圳,position_detail.php?id=47331&keywords=&tid=0&lid=0,18428-财付通平台组件测试工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47323&keywords=&tid=0&lid=0,28604-211 微信支付中小商户高级产品经理（深圳/广州）,1,2019-01-30,产品/项目类
香港,position_detail.php?id=47332&keywords=&tid=0&lid=0,HGJ-Legal Counsel (Technology Transactions),1,2019-01-30,职能类
香港,position_detail.php?id=47333&keywords=&tid=0&lid=0,HGJ-Senior Legal Counsel (AML Advisory),1,2019-01-30,职能类
深圳,position_detail.php?id=47322&keywords=&tid=0&lid=0,28603-122 业务系统工业化nlp高级工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47324&keywords=&tid=0&lid=0,28604-211 微信支付中小商户产品经理（深圳/广州）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47325&keywords=&tid=0&lid=0,22989-腾讯云直播生态经理,2,2019-01-30,产品/项目类
深圳,position_detail.php?id=47326&keywords=&tid=0&lid=0,22989-基础产品运营经理,2,2019-01-30,产品/项目类
深圳,position_detail.php?id=47327&keywords=&tid=0&lid=0,18796-平台运营经理(深圳),3,2019-01-30,产品/项目类
深圳,position_detail.php?id=47316&keywords=&tid=0&lid=0,28481-医疗应用开发高级工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47317&keywords=&tid=0&lid=0,25925-数据挖掘工程师,2,2019-01-30,技术类
深圳,position_detail.php?id=47318&keywords=&tid=0&lid=0,CSIG07-基础安全威胁情报分析师,4,2019-01-30,技术类
深圳,position_detail.php?id=47319&keywords=&tid=0&lid=0,CSIG07-业务威胁情报分析师,1,2019-01-30,技术类
深圳,position_detail.php?id=47350&keywords=&tid=0&lid=0,22989-腾讯云网络规划工程师（深圳）,1,2019-01-30,技术类
北京,position_detail.php?id=47351&keywords=&tid=0&lid=0,25664-商务运营高级经理（北京、上海、成都）,3,2019-01-30,市场类
深圳,position_detail.php?id=47320&keywords=&tid=0&lid=0,CSIG07-业务威胁情报分析师,2,2019-01-30,技术类
深圳,position_detail.php?id=47340&keywords=&tid=0&lid=0,PCG19-腾讯视频TV产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47341&keywords=&tid=0&lid=0,TEG05-品牌管理经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47342&keywords=&tid=0&lid=0,TEG05-高级安全策略工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47343&keywords=&tid=0&lid=0,27216-腾讯乘车码-客户端资深开发工程师,2,2019-01-30,技术类
深圳,position_detail.php?id=47344&keywords=&tid=0&lid=0,25667-区域渠道销售经理（深圳/北京/上海）,3,2019-01-30,市场类
北京,position_detail.php?id=47345&keywords=&tid=0&lid=0,25667-渠道培训运营经理（北京、上海）,2,2019-01-30,市场类
深圳,position_detail.php?id=47335&keywords=&tid=0&lid=0,15605-动作RPG类手游商业化运营,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47336&keywords=&tid=0&lid=0,15605-动作RPG类游戏运营数据分析,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47352&keywords=&tid=0&lid=0,TEG06-企业内网安全产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47353&keywords=&tid=0&lid=0,23295-互娱游戏数据营销经理（深圳）,1,2019-01-30,市场类
北京,position_detail.php?id=47354&keywords=&tid=0&lid=0,30359-后台开发高级工程师（北京）,1,2019-01-30,技术类
北京,position_detail.php?id=47355&keywords=&tid=0&lid=0,23675-后台开发（北京）,1,2019-01-30,技术类
